rcp,parameter,attribute,r,p,p_fdr,sig_fdr
26,month_10_Jul,p_seasonality,-0.12109430059890544,0.00250526350071746,0.004144410056114182,True
26,month_10_Jul,frac_snow,0.33321851757934173,1.4375630350642614e-17,7.251549497072925e-17,True
26,month_10_Jul,aridity,-0.4165922900688601,1.8264692123841926e-27,1.7479481060573955e-26,True
26,month_11_Aug,frac_high_perc,-0.13398036267250202,0.0008164730266189599,0.0014291767166800255,True
26,month_11_Aug,runoff_ratio,0.6297446263527315,6.42501888365581e-70,1.0965365561439248e-67,True
26,month_11_Aug,area,-0.12324466881967708,0.0020924206587133957,0.003501043716540061,True
26,month_11_Aug,dpsbar,0.4619677743527568,3.734061369685074e-34,6.069331496123041e-33,True
26,month_11_Aug,elev_mean,0.4752287647575463,2.6263266569536788e-36,5.171843262924168e-35,True
26,month_11_Aug,p_seasonality,-0.34326253904463655,1.2994635205015691e-18,7.077928962731952e-18,True
26,month_11_Aug,frac_snow,0.3165118490868519,6.466479179570722e-16,2.996232886823719e-15,True
26,month_11_Aug,aridity,-0.5766263706698997,2.5805280365236718e-56,1.65153794337515e-54,True
26,month_12_Sep,frac_high_perc,-0.17581816095974592,1.0485468751041616e-05,2.195730061567815e-05,True
26,month_12_Sep,runoff_ratio,0.5033033075574163,3.453234683005755e-41,9.066954654866392e-40,True
26,month_12_Sep,area,-0.13418460084564032,0.0008014370364901377,0.0014052594612429812,True
26,month_12_Sep,dpsbar,0.3230821544215077,1.488670251322717e-16,7.123356716609636e-16,True
26,month_12_Sep,elev_mean,0.3012197084693864,1.7188595761071132e-14,7.29504844885897e-14,True
26,month_12_Sep,p_seasonality,-0.33456950615110814,1.0457716875954208e-17,5.3543510404885547e-17,True
26,month_12_Sep,frac_snow,0.19203228059656224,1.4304479017975456e-06,3.2550636698681925e-06,True
26,month_12_Sep,aridity,-0.4286915707337092,3.7639396168987963e-29,4.057130702846703e-28,True
26,number_of_reversals,frac_high_perc,-0.20625185999020285,2.1570517356959319e-07,5.246605646918372e-07,True
26,number_of_reversals,runoff_ratio,0.16386795870898913,4.076357086078981e-05,8.105222633291021e-05,True
26,number_of_reversals,area,0.06328275732595917,0.11516408823363826,0.14374006394386377,False
26,number_of_reversals,dpsbar,0.14367779284827387,0.00032831252765068214,0.0006003429077041045,True
26,number_of_reversals,elev_mean,0.19071279022589138,1.6932058484824109e-06,3.810643491969206e-06,True
26,number_of_reversals,p_seasonality,0.013520130579491831,0.7366774664815542,0.7674035866501643,False
26,number_of_reversals,frac_snow,0.14624212676376586,0.00025551327886738244,0.00047571926829127206,True
