rcp,parameter,attribute,r_partial,p,p_fdr,sig_fdr
45,low_pulse_count,dpsbar,0.040816646632882064,0.30985824383195815,0.3834709757920366,False
45,low_pulse_count,elev_mean,0.04642901759193851,0.24796875774492858,0.3174012228048947,False
45,low_pulse_count,p_seasonality,-0.15207245643041423,0.00014229896030199275,0.0004885052430290632,True
45,low_pulse_count,frac_snow,0.028407724752342097,0.479794455417519,0.5561394981294916,False
45,low_pulse_duration_mean,frac_high_perc,-0.07768411130856226,0.053002259437308206,0.08810765205162922,False
45,low_pulse_duration_mean,runoff_ratio,0.20316726820898479,3.289658040740342e-07,1.808302824848679e-06,True
45,low_pulse_duration_mean,area,-0.10351814120065245,0.009840058962267391,0.020843245461445822,True
45,low_pulse_duration_mean,dpsbar,0.09231601306522383,0.021403893245180272,0.040289681402692276,True
45,low_pulse_duration_mean,elev_mean,0.05482817855476211,0.17238353353193664,0.2361707126064453,False
45,low_pulse_duration_mean,p_seasonality,0.25186835165875465,1.930081642917744e-10,1.7293531520542985e-09,True
45,low_pulse_duration_mean,frac_snow,0.1921138386391629,1.4155609887446504e-06,7.007417933233186e-06,True
45,max_1day,frac_high_perc,0.11753339016750333,0.0033550036393494697,0.008190962563643392,True
45,max_1day,runoff_ratio,0.17198820421617944,1.6366781240006364e-05,6.789183329187825e-05,True
45,max_1day,area,0.08884797831564004,0.026828820626150267,0.049058414859246204,True
45,max_1day,dpsbar,-0.02922642289449748,0.4672218913022069,0.5429712251709176,False
45,max_1day,elev_mean,0.054070243808958494,0.17840143228368072,0.24404226462011896,False
45,max_1day,p_seasonality,-0.04348564547350768,0.27925907551670637,0.35044276143272957,False
45,max_1day,frac_snow,0.05395518281837737,0.17932847069160818,0.2445636373511125,False
45,max_30day,frac_high_perc,-0.03396355419254512,0.39816334627655753,0.47567247768506077,False
45,max_30day,runoff_ratio,0.16937929431299062,2.2045125698626316e-05,8.77885894487519e-05,True
45,max_30day,area,0.08941604150928548,0.025866399081544117,0.047589925209576035,True
45,max_30day,dpsbar,-0.08163802381559887,0.04198126120931385,0.07318134249716966,False
45,max_30day,elev_mean,0.06168477804866449,0.1246506915258558,0.17956112477036462,False
